Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
10/3/12,1760,1761
10/4/12,1708,1767
10/5/12,1558,1590
10/6/12,1080,926
10/7/12,1191,951
10/8/12,1829,1708
10/9/12,1759,1742
10/10/12,1648,1587
10/11/12,1579,1468
10/12/12,1022,989
10/13/12,415,351
10/14/12,427,271
10/15/12,1200,1073
10/16/12,1559,1477
10/17/12,1647,1596
10/18/12,1449,1474
10/19/12,965,1012
10/20/12,586,482
10/21/12,540,449
10/22/12,1088,1041
10/23/12,1263,1237
10/24/12,1250,1179
10/25/12,1361,1352
10/26/12,1039,1034
10/27/12,289,242
10/28/12,611,451
10/29/12,1146,1071
10/30/12,912,823
10/31/12,883,827
11/1/12,1061,1030
11/2/12,1345,1133
11/3/12,513,439
11/4/12,548,463
11/5/12,1430,1380
11/6/12,1287,1206
11/7/12,1406,1313
11/8/12,1355,1336
11/9/12,1251,1155
11/10/12,685,584
11/11/12,327,301
11/12/12,839,792
11/13/12,1050,1037
11/14/12,1294,1306
11/15/12,1304,1216
11/16/12,1023,983
11/17/12,348,292
11/18/12,219,173
11/19/12,475,492
11/20/12,884,857
11/21/12,668,702
11/22/12,325,229
11/23/12,168,187
11/24/12,448,397
11/25/12,566,452
11/26/12,1180,1178
11/27/12,1301,1246
11/28/12,1022,1012
11/29/12,954,890
11/30/12,786,804
12/1/12,338,296
12/2/12,294,233
12/3/12,932,936
12/4/12,1021,990
12/5/12,1180,1120
12/6/12,955,924
12/7/12,906,910
12/8/12,471,403
12/9/12,217,205
12/10/12,1070,1092
12/11/12,994,951
12/12/12,919,929
12/13/12,1047,966
12/14/12,894,815
12/15/12,258,205
12/16/12,202,149
12/17/12,747,745
12/18/12,862,840
12/19/12,496,524
12/20/12,526,551
12/21/12,605,627
12/22/12,263,230
12/23/12,253,188
12/24/12,304,270
12/25/12,50,48
12/26/12,430,415
12/27/12,573,575
12/28/12,631,626
12/29/12,249,238
12/30/12,375,320
12/31/12,546,440
1/1/13,344,334
1/2/13,904,931
1/3/13,890,913
1/4/13,836,876
1/5/13,403,316
1/6/13,392,314
1/7/13,968,925
1/8/13,781,797
1/9/13,697,650
1/10/13,935,875
1/11/13,804,766
1/12/13,341,336
1/13/13,335,224
1/14/13,934,935
1/15/13,1065,1001
1/16/13,970,980
1/17/13,883,894
1/18/13,810,775
1/19/13,421,339
1/20/13,467,334
1/21/13,644,632
1/22/13,984,981
1/23/13,896,871
1/24/13,1003,952
1/25/13,925,936
1/26/13,286,258
1/27/13,358,285
1/28/13,877,831
1/29/13,910,879
1/30/13,873,887
1/31/13,974,947
2/1/13,1092,1016
2/2/13,645,488
2/3/13,477,391
2/4/13,1174,1114
2/5/13,1030,982
2/6/13,1016,979
2/7/13,1115,1072
2/8/13,1119,1042
2/9/13,627,487
2/10/13,735,577
2/11/13,1076,1069
2/12/13,1082,1023
2/13/13,1050,1016
2/14/13,980,904
2/15/13,1206,1098
2/16/13,573,444
2/17/13,471,398
2/18/13,758,723
2/19/13,1333,1253
2/20/13,1142,1075
2/21/13,952,939
2/22/13,670,690
2/23/13,603,523
2/24/13,605,517
2/25/13,1077,1009
2/26/13,1253,1244
2/27/13,1163,1171
2/28/13,874,885
3/1/13,924,921
3/2/13,657,576
3/3/13,989,701
3/4/13,1464,1327
3/5/13,1205,1193
3/6/13,1049,992
3/7/13,1068,1082
3/8/13,1409,1330
3/9/13,1372,1058
3/10/13,594,452
3/11/13,1144,1106
3/12/13,994,986
3/13/13,935,959
3/14/13,1139,1063
3/15/13,1172,1183
3/16/13,595,468
3/17/13,745,550
3/18/13,1181,1200
3/19/13,1192,1120
3/20/13,767,740
3/21/13,963,961
3/22/13,928,934
3/23/13,971,781
3/24/13,766,619
3/25/13,1599,1560
3/26/13,1563,1452
3/27/13,1353,1264
3/28/13,1384,1322
3/29/13,1681,1526
3/30/13,1365,1132
3/31/13,1275,1088
4/1/13,1654,1594
4/2/13,1685,1602
4/3/13,1739,1747
4/4/13,1016,991
4/5/13,914,928
4/6/13,429,360
4/7/13,314,263
4/8/13,1334,1355
4/9/13,1504,1396
4/10/13,1059,1054
4/11/13,1284,1215
4/12/13,1047,998
4/13/13,486,360
4/14/13,812,652
4/15/13,1433,1254
4/16/13,1566,1510
4/17/13,1523,1416
4/18/13,1019,953
4/19/13,700,685
4/20/13,587,445
4/21/13,559,409
4/22/13,1920,1713
4/23/13,2003,1939
4/24/13,2287,2163
4/25/13,2185,1981
4/26/13,1784,1673
4/27/13,663,551
4/28/13,664,526
4/29/13,1376,1317
4/30/13,1757,1645
5/1/13,2615,2402
5/2/13,2535,2342
5/3/13,2297,2223
5/4/13,1666,1246
5/5/13,1658,1345
5/6/13,2594,2472
5/7/13,2653,2450
5/8/13,2558,2414
5/9/13,2378,2285
5/10/13,2586,2280
5/11/13,1388,1093
5/12/13,706,557
5/13/13,1713,1654
5/14/13,2345,2230
5/15/13,1984,1912
5/16/13,2157,2117
5/17/13,2735,2048
5/18/13,1000,814
5/19/13,1186,950
5/20/13,2402,2247
5/21/13,1264,1217
5/22/13,1467,1393
5/23/13,1550,1473
5/24/13,1732,1641
5/25/13,938,828
5/26/13,665,526
5/27/13,385,384
5/28/13,1744,1615
5/29/13,1618,1519
5/30/13,2022,1941
5/31/13,2296,2119
6/1/13,1268,972
6/2/13,1568,1108
6/3/13,2186,2106
6/4/13,2655,2466
6/5/13,2572,2466
6/6/13,2349,2290
6/7/13,1884,1792
6/8/13,1174,1005
6/9/13,1183,898
6/10/13,2215,2154
6/11/13,1883,1795
6/12/13,2038,1967
6/13/13,2011,1904
6/14/13,1690,1632
6/15/13,1436,1120
6/16/13,1316,986
6/17/13,2153,2099
6/18/13,2266,2260
6/19/13,1853,1802
6/20/13,1221,1250
6/21/13,1528,1482
6/22/13,1526,1617
6/23/13,912,732
6/24/13,1247,1185
6/25/13,1353,1296
6/26/13,1430,1474
6/27/13,1499,1429
6/28/13,2095,2004
6/29/13,1440,1292
6/30/13,1488,1258
7/1/13,2166,2041
7/2/13,2401,2295
7/3/13,2149,2106
7/4/13,1838,1911
7/5/13,1538,1550
7/6/13,1576,1346
7/7/13,1414,1181
7/8/13,2180,2167
7/9/13,2425,2391
7/10/13,2304,2303
7/11/13,2065,2035
7/12/13,1838,1858
7/13/13,1410,1288
7/14/13,1464,1176
7/15/13,2207,2211
7/16/13,2314,2279
7/17/13,2102,2069
7/18/13,2263,2123
7/19/13,1982,1933
7/20/13,1378,1133
7/21/13,1293,1132
7/22/13,2073,2101
7/23/13,2326,2278
7/24/13,2331,2363
7/25/13,2246,2227
7/26/13,1999,1964
7/27/13,1289,1212
7/28/13,1078,902
7/29/13,2048,2040
7/30/13,2226,2314
7/31/13,2090,2032
8/1/13,1897,1822
8/2/13,1310,1269
8/3/13,1238,1019
